customer_id,first_name,last_name,email,segment,region,country,industry,acquisition_channel,acquisition_date,last_purchase_date,activity_status,lifetime_value_USD
CUST-0001,Kofi,Thomas,kofi.thomas1@email.com,SMB,Latin America,Argentina,Hospitality,Direct,2023-03-31,2023-12-27,Churned,45439.17
CUST-0002,Zara,Nwosu,zara.nwosu2@email.com,Government,Middle East,Qatar,Unknown,Paid Ads,2022-01-18,2023-11-25,Churned,44240.94
CUST-0003,Melissa,Mensah,melissa.mensah3@email.com,Government,Latin America,Colombia,Unknown,Paid Ads,2019-04-30,2023-03-31,Churned,53511.31
CUST-0004,Kwame,Davis,kwame.davis4@email.com,Startup,Latin America,Colombia,Manufacturing,Social Media,2020-12-08,2022-01-23,Churned,27800.94
CUST-0005,Priya,Adeleke,priya.adeleke5@email.com,Individual,Africa,South Africa,Finance,Paid Ads,2019-03-24,2021-10-01,Churned,64810.65
CUST-0006,Charles,Mueller,charles.mueller6@email.com,Individual,Asia Pacific,South Korea,Retail,Email Campaign,2020-11-09,2024-07-07,At Risk,51648.07
CUST-0007,Thomas,Martin,thomas.martin7@email.com,SMB,Middle East,Saudi Arabia,Manufacturing,Paid Ads,2021-10-07,2022-07-23,Churned,22411.91
CUST-0008,Chukwuemeka,Okafor,chukwuemeka.okafor8@email.com,SMB,Latin America,Chile,Healthcare,Direct,2020-11-10,2022-01-07,Churned,49470.58
CUST-0009,David,Miller,david.miller9@email.com,SMB,Europe,United Kingdom,Finance,Social Media,2020-12-18,2022-03-31,Churned,7106.01
CUST-0010,Daniel,Martin,daniel.martin10@email.com,Government,Latin America,Chile,Logistics,Referral,2021-12-08,2024-05-18,At Risk,56495.94
CUST-0011,Priya,Jackson,priya.jackson11@email.com,Startup,North America,Canada,Healthcare,Referral,2022-03-02,2023-07-27,Churned,44916.24
CUST-0012,Zara,White,zara.white12@email.com,SMB,Europe,Netherlands,Unknown,Email Campaign,2020-10-17,2022-10-13,Churned,63810.81
CUST-0013,Michael,Yamamoto,michael.yamamoto13@email.com,Enterprise,Latin America,Brazil,Technology,Paid Ads,2021-11-26,2022-09-08,Churned,80352.67
CUST-0014,Melissa,Garcia,melissa.garcia14@email.com,SMB,Africa,South Africa,Healthcare,Social Media,2019-11-28,2020-05-23,Churned,10826.71
CUST-0015,Robert,Smith,robert.smith15@email.com,Government,Africa,Nigeria,Manufacturing,Paid Ads,2019-01-01,2020-05-18,Churned,24025.42
CUST-0016,Stephanie,Brown,stephanie.brown16@email.com,Government,North America,Mexico,Finance,Direct,2022-04-01,2022-10-30,Churned,54857.94
CUST-0017,Kwame,Thomas,kwame.thomas17@email.com,Startup,Middle East,Saudi Arabia,Logistics,Direct,2022-07-23,2023-10-15,Churned,70975.90
CUST-0018,Melissa,Li,melissa.li18@email.com,Individual,Africa,Ghana,Healthcare,Email Campaign,2020-03-05,2021-01-27,Churned,26627.85
CUST-0019,Richard,Thomas,richard.thomas19@email.com,Enterprise,Asia Pacific,India,Manufacturing,Organic Search,2022-10-13,2022-10-15,Churned,65735.74
CUST-0020,Ibrahim,Singh,ibrahim.singh20@email.com,SMB,Latin America,Brazil,Logistics,Email Campaign,2022-02-09,2024-11-21,Active,46603.70
CUST-0021,Emily,Kim,emily.kim21@email.com,Government,Asia Pacific,Australia,Education,Referral,2022-09-26,2024-10-15,Active,13569.02
CUST-0022,Robert,Kim,robert.kim22@email.com,SMB,North America,United States,Manufacturing,Organic Search,2020-09-21,2022-02-19,Churned,42176.94
CUST-0023,Omar,Mensah,omar.mensah23@email.com,Government,Middle East,Saudi Arabia,Healthcare,Referral,2019-03-18,2020-07-28,Churned,10312.00
CUST-0024,Arjun,Thomas,arjun.thomas24@email.com,Enterprise,Africa,Nigeria,Hospitality,Direct,2019-02-23,2022-03-18,Churned,19781.22
CUST-0025,Fatima,Wilson,fatima.wilson25@email.com,Government,Europe,Sweden,Hospitality,Organic Search,2019-07-30,2024-11-11,Active,50925.93
CUST-0026,Elizabeth,Kim,elizabeth.kim26@email.com,SMB,Africa,South Africa,Retail,Organic Search,2020-02-12,2022-03-26,Churned,45599.15
CUST-0027,Priya,Diallo,priya.diallo27@email.com,SMB,Africa,South Africa,Education,Email Campaign,2020-07-20,2023-11-13,Churned,30460.90
CUST-0028,Ashley,Li,ashley.li28@email.com,Startup,Middle East,Saudi Arabia,Finance,Email Campaign,2020-05-02,2024-12-11,Active,66307.89
CUST-0029,Aisha,Harris,aisha.harris29@email.com,Government,Middle East,Saudi Arabia,Education,Referral,2022-10-15,2024-09-15,At Risk,78527.53
CUST-0030,Kwame,Brown,kwame.brown30@email.com,SMB,Asia Pacific,India,Hospitality,Referral,2021-11-26,2022-08-28,Churned,55523.03
CUST-0031,Daniel,Wilson,daniel.wilson31@email.com,SMB,North America,Mexico,Education,Social Media,2020-08-30,2022-01-18,Churned,55140.62
CUST-0032,Yuki,Allen,yuki.allen32@email.com,Startup,Europe,Netherlands,Hospitality,Organic Search,2022-11-24,2023-01-28,Churned,64286.94
CUST-0033,William,Miller,william.miller33@email.com,Startup,Middle East,Qatar,Retail,Paid Ads,2023-04-03,2024-11-15,Active,21761.55
CUST-0034,Charles,Jackson,charles.jackson34@email.com,SMB,Middle East,UAE,Logistics,Direct,2020-06-29,2020-11-17,Churned,39374.95
CUST-0035,Robert,Moore,robert.moore35@email.com,Individual,Europe,Spain,Retail,Partner,2020-04-01,2024-06-25,At Risk,49723.30
CUST-0036,John,Allen,john.allen36@email.com,Individual,Latin America,Colombia,Retail,Direct,2019-09-25,2021-08-18,Churned,35168.72
CUST-0037,Chukwuemeka,Martin,chukwuemeka.martin37@email.com,Startup,North America,Mexico,Healthcare,Social Media,2022-03-12,2023-09-10,Churned,14700.30
